"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"19059",18405,123,0.00727471399846344,748.285714285714,0,1,0.186666666666667,25,0.07,0.401960784313726,1,"Colombia"
"19060",18406,124,0.0163927516677261,800.142857142857,0,1,0.18421052631579,25,0.07,0.398058252427184,1,"Colombia"
"19061",18407,125,0.00800144874101505,812.285714285714,0,1,0.181818181818182,25,0.07,0.394230769230769,1,"Colombia"
"19062",18408,126,0.0254472193424682,866.857142857143,0,1,0.179487179487179,25,0.07,0.39047619047619,1,"Colombia"
"19063",18409,127,0.0288635004899513,916.714285714286,0,1,0.177215189873418,25,0.07,0.386792452830189,1,"Colombia"
"19064",18410,128,0.0590230053624886,1005.14285714286,0,1,0.175,25,0.07,0.383177570093458,1,"Colombia"
"19065",18411,129,0.0718105809931484,1079.57142857143,1,1,0.17283950617284,25,0.07,0.37962962962963,1,"Colombia"
"19066",18412,130,0.0876507243929877,1151.28571428571,1,1,0.170731707317073,25,0.07,0.376146788990826,1,"Colombia"
"19067",18413,131,0.0650531841855894,1172.57142857143,0,1,0.168674698795181,25,0.07,0.372727272727273,1,"Colombia"
"19068",18414,132,0.0615186979224055,1216,0,1,0.166666666666667,25,0.07,0.369369369369369,1,"Colombia"
"19069",18415,133,0.0551431958284617,1261.42857142857,0,1,0.164705882352941,25,0.07,0.366071428571429,1,"Colombia"
"19070",18416,134,0.0564310564488116,1321.42857142857,0,1,0.162790697674419,25,0.07,0.36283185840708,1,"Colombia"
"19071",18417,135,0.0608270637904764,1393.42857142857,0,1,0.160919540229885,25,0.07,0.359649122807018,1,"Colombia"
"19072",18418,136,0.0514288550813186,1421,0,1,0.160919540229885,25,0.07,0.365217391304348,1,"Colombia"
"19073",18419,137,0.0258258918870126,1398.71428571429,0,1,0.160919540229885,25,0.07,0.370689655172414,1,"Colombia"
"19074",18420,138,0.0153260387107248,1407.57142857143,0,1,0.159090909090909,23,0.07,0.367521367521368,1,"Colombia"
"19075",18421,139,0.0198666599418697,1460.85714285714,0,1,0.157303370786517,23,0.07,0.364406779661017,1,"Colombia"
"19076",18422,140,-0.0484114370066092,1463.57142857143,0,0.97071129707113,0.167235494880546,16,0.04,0.487394957983193,0.875,"Colombia"
"19077",18423,141,-0.0826576470013626,1475.42857142857,0,0.97119341563786,0.167235494880546,16,0.04,0.491666666666667,0.875,"Colombia"
"19078",18424,142,-0.0214965373978587,1441.71428571429,0,1,0.16304347826087,23,0.07,0.358333333333333,1,"Colombia"
"19079",18425,143,-0.177727440854321,1460.42857142857,0,0.972222222222222,0.183673469387755,12,0.03,0.466666666666667,0.9,"Colombia"
"19080",18426,144,-0.1433451909949,1531.28571428571,0,0.973143759873618,0.194508009153318,12,0.03,0.466666666666667,0.909090909090909,"Colombia"
"19081",18427,145,0.194534456760079,1671.85714285714,1,0.973913043478261,0.204968944099379,12,0.03,0.466666666666667,0.916666666666667,"Colombia"
"19082",18428,146,0.325718071873611,1763.42857142857,1,0.974564926372155,0.215094339622642,12,0.03,0.466666666666667,0.923076923076923,"Colombia"
"19083",18429,147,0.284677924381154,1836.14285714286,1,0.975124378109453,0.224913494809689,12,0.03,0.466666666666667,0.928571428571429,"Colombia"
"19084",18430,148,0.217316586672313,1909.14285714286,1,0.975609756097561,0.23444976076555,12,0.03,0.466666666666667,0.933333333333333,"Colombia"
"19085",18431,149,0.314538079599376,2143.57142857143,1,0.975609756097561,0.231678486997636,12,0.03,0.462809917355372,0.933333333333333,"Colombia"
"19086",18432,150,0.280355080592619,2345.42857142857,1,0.975609756097561,0.228971962616823,12,0.03,0.459016393442623,0.933333333333333,"Colombia"
"19087",18433,151,0.166262346238056,2412.42857142857,1,0.975609756097561,0.226327944572748,12,0.03,0.455284552845528,0.933333333333333,"Colombia"
"19088",18434,152,0.122259573431285,2530.42857142857,1,0.976027397260274,0.226327944572748,12,0.03,0.459677419354839,0.933333333333333,"Colombia"
"19089",18435,153,0.0686781809175829,2588.57142857143,1,0.976430976430976,0.226327944572748,12,0.03,0.464,0.933333333333333,"Colombia"
"19090",18436,154,0.0198253741654948,2663,0,0.97682119205298,0.226327944572748,12,0.03,0.468253968253968,0.933333333333333,"Colombia"
"19091",18437,155,0.0231026412831909,2866.71428571429,0,0.977198697068404,0.226327944572748,12,0.03,0.47244094488189,0.933333333333333,"Colombia"
"19092",18438,156,-0.016089473175188,2911.71428571429,0,0.977564102564103,0.226327944572748,12,0.03,0.4765625,0.933333333333333,"Colombia"
"19093",18439,157,-0.00798485753455203,3023.71428571429,0,0.977917981072555,0.226327944572748,12,0.03,0.48062015503876,0.933333333333333,"Colombia"
"19094",18440,158,0.0311879991611159,3279.71428571429,1,0.978260869565217,0.226327944572748,12,0.03,0.484615384615385,0.933333333333333,"Colombia"
"19095",18441,159,-0.0237319670737921,3302.42857142857,0,0.978593272171254,0.226327944572748,12,0.03,0.488549618320611,0.933333333333333,"Colombia"
"19096",18442,160,-0.0513792988232811,3408.57142857143,0,0.978915662650602,0.226327944572748,12,0.03,0.492424242424242,0.933333333333333,"Colombia"
"19097",18443,161,-0.0285949812141975,3467.71428571429,0,0.978915662650602,0.223744292237443,12,0.03,0.488721804511278,0.933333333333333,"Colombia"
"19098",18444,162,0.000348240828605479,3556.57142857143,0,0.978915662650602,0.221218961625282,12,0.03,0.485074626865672,0.933333333333333,"Colombia"
"19099",18445,163,-0.0170471152538689,3644.42857142857,0,0.978915662650602,0.21875,12,0.03,0.481481481481481,0.933333333333333,"Colombia"
"19100",18446,164,-0.0591862056449849,3580.42857142857,0,0.978915662650602,0.216335540838852,12,0.03,0.477941176470588,0.933333333333333,"Colombia"
"19101",18447,165,-0.112294021812248,3542.57142857143,0,0.979228486646884,0.216335540838852,12,0.03,0.481751824817518,0.933333333333333,"Colombia"
"19102",18448,166,-0.149009044098039,3620.14285714286,0,0.979228486646884,0.213973799126638,12,0.03,0.478260869565217,0.933333333333333,"Colombia"
"19103",18449,167,-0.135399895384857,3605.42857142857,0,0.979591836734694,0.222672064777328,12,0.03,0.478260869565217,0.9375,"Colombia"
"19104",18450,168,-0.136136430447463,3806.85714285714,0,0.979912663755458,0.231155778894472,12,0.03,0.478260869565217,0.941176470588235,"Colombia"
"19105",18451,169,-0.191567443716491,3804.14285714286,0,0.98019801980198,0.23943661971831,12,0.03,0.478260869565217,0.944444444444444,"Colombia"
"19106",18452,170,-0.0743086432813379,3980.42857142857,0,0.953531598513011,0.269723533378287,14,0.01,0.58695652173913,0.842105263157895,"Colombia"
"19107",18453,171,0.24870376091189,4467.28571428571,1,0.954063604240283,0.279393173198483,14,0.01,0.58695652173913,0.85,"Colombia"
"19108",18454,172,0.243704087304217,4606.14285714286,1,0.954545454545454,0.288770053475936,14,0.01,0.58695652173913,0.857142857142857,"Colombia"
"19109",18455,173,0.171794690200323,4762.14285714286,1,0.954983922829582,0.297872340425532,14,0.01,0.58695652173913,0.863636363636364,"Colombia"
"19110",18456,174,0.124946663673009,4856.57142857143,1,0.954983922829582,0.294247787610619,14,0.01,0.58273381294964,0.863636363636364,"Colombia"
"19111",18457,175,0.118777610864749,5057.71428571429,1,0.954983922829582,0.290710382513661,14,0.01,0.578571428571429,0.863636363636364,"Colombia"
"19112",18458,176,0.103358008898995,5218.71428571429,1,0.954983922829582,0.287257019438445,14,0.01,0.574468085106383,0.863636363636364,"Colombia"
"19113",18459,177,0.0991993282623015,5604.71428571429,1,0.954983922829582,0.283884738527215,12,0.01,0.570422535211268,0.863636363636364,"Colombia"
"19114",18460,178,0.0955056342511787,5909.14285714286,1,0.955508474576271,0.283884738527215,12,0.01,0.573426573426573,0.863636363636364,"Colombia"
"19115",18461,179,0.116896239111247,6438.28571428571,1,0.956020942408377,0.283884738527214,12,0.01,0.576388888888889,0.863636363636364,"Colombia"
"19116",18462,180,0.0923361288737053,6690.42857142857,1,0.956521739130435,0.283884738527215,12,0.01,0.579310344827586,0.863636363636364,"Colombia"
"19117",18463,181,0.0709679328535108,7104,1,0.957011258955988,0.283884738527215,12,0.01,0.582191780821918,0.863636363636364,"Colombia"
"19118",18464,182,0.0358576502916109,7305.71428571429,1,0.95748987854251,0.283884738527215,12,0.01,0.585034013605442,0.863636363636364,"Colombia"
"19119",18465,183,0.065560791452101,7608.42857142857,1,0.957957957957958,0.283884738527214,12,0.01,0.587837837837838,0.863636363636364,"Colombia"
"19120",18466,184,0.0108827172962948,7595.28571428571,1,0.958415841584158,0.283884738527214,12,0.01,0.590604026845638,0.863636363636364,"Colombia"
"19121",18467,185,-0.0482381494469933,7343,0,0.958863858961802,0.283884738527215,12,0.01,0.593333333333333,0.863636363636364,"Colombia"
"19122",18468,186,-0.100695125429935,7156.42857142857,0,0.959302325581395,0.283884738527214,12,0.01,0.596026490066225,0.863636363636364,"Colombia"
"19123",18469,187,-0.121551407447932,7385.42857142857,0,0.959731543624161,0.283884738527215,12,0.01,0.598684210526316,0.863636363636364,"Colombia"
"19124",18470,188,-0.169782628069223,7585.14285714286,0,0.960151802656547,0.283884738527215,12,0.01,0.601307189542484,0.863636363636364,"Colombia"
"19125",18471,189,-0.131754879966925,8049.57142857143,0,0.948028673835126,0.281985670419652,12,0.01,0.601307189542484,0.826086956521739,"Colombia"
"19126",18472,190,0.37714153445089,8232.42857142857,1,0.982456140350877,0.257270693512304,7,0.02,0.457516339869281,0.958333333333333,"Colombia"
"19127",18473,191,0.325283363322642,8521,1,0.982594048287479,0.263923377084072,7,0.02,0.457516339869281,0.96,"Colombia"
