"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"97",18379,97,0.117336740426592,96.7142857142857,1,0.901639344262295,0,29,0.01,0.654761904761905,0,"Afghanistan"
"98",18380,98,0.123748138859258,105.285714285714,1,0.901639344262295,0,29,0.01,0.647058823529412,0,"Afghanistan"
"99",18381,99,0.103431693985247,109,1,0.901639344262295,0,29,0.01,0.63953488372093,0,"Afghanistan"
"100",18382,100,0.135463255156698,127.285714285714,1,0.901639344262295,0,29,0.01,0.632183908045977,0,"Afghanistan"
"101",18383,101,0.130540621413751,137.142857142857,1,0.901639344262295,0,29,0.01,0.625,0,"Afghanistan"
"102",18384,102,0.11042217761583,143.714285714286,1,0.903225806451613,0,29,0.01,0.629213483146067,0,"Afghanistan"
"103",18385,103,0.139859472773738,167.571428571429,1,0.904761904761905,0,29,0.01,0.633333333333333,0,"Afghanistan"
"104",18386,104,0.103264904039741,170.142857142857,1,0.90625,0,29,0.01,0.637362637362637,0,"Afghanistan"
"105",18387,105,0.131584816641384,199.285714285714,1,0.907692307692308,0,29,0.01,0.641304347826087,0,"Afghanistan"
"106",18388,106,0.107262446626309,207.571428571429,1,0.909090909090909,0,29,0.01,0.645161290322581,0,"Afghanistan"
"107",18389,107,0.0726018193337226,205.285714285714,1,0.91044776119403,0,29,0.01,0.648936170212766,0,"Afghanistan"
"108",18390,108,0.0616738591851645,212.857142857143,1,0.911764705882353,0,29,0.01,0.652631578947368,0,"Afghanistan"
"109",18391,109,0.0586311525015178,224.571428571429,1,0.91304347826087,0,29,0.01,0.65625,0,"Afghanistan"
"110",18392,110,0.0611457193194654,242.571428571429,1,0.914285714285714,0,29,0.01,0.65979381443299,0,"Afghanistan"
"111",18393,111,0.0580983588890553,256,1,0.915492957746479,0,29,0.01,0.663265306122449,0,"Afghanistan"
"112",18394,112,0.0370319660869959,249,1,0.916666666666667,0,29,0.01,0.666666666666667,0,"Afghanistan"
"113",18395,113,0.0348535104698674,262,1,0.917808219178082,0,29,0.01,0.67,0,"Afghanistan"
"114",18396,114,0.0552667655550019,296.571428571429,1,0.918918918918919,0,29,0.01,0.673267326732673,0,"Afghanistan"
