"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"31693",18415,133,-0.162659568853934,842.142857142857,0,0.899135446685879,0.794251134644478,7,0.01,0.696428571428571,0.9375,"France"
"31694",18416,134,-0.119873609997075,356.714285714286,0,0.899135446685879,0.7847533632287,7,0.01,0.684210526315789,0.9375,"France"
"31695",18417,135,0.107641076783235,502,0,0.901408450704225,0.7847533632287,7,0.01,0.689655172413793,0.9375,"France"
"31696",18418,136,0.0717775877930197,500.142857142857,0,0.903581267217631,0.784753363228699,7,0.01,0.694915254237288,0.9375,"France"
"31697",18419,137,0.10739924300263,325.428571428571,0,0.905660377358491,0.784753363228699,7,0.01,0.7,0.9375,"France"
"31698",18420,138,-0.0789820042044642,341.142857142857,0,0.884927066450567,0.784530386740331,7,0.01,0.7,0.923076923076923,"France"
"31699",18421,139,-0.27226951896118,322.142857142857,0,0.865168539325843,0.784313725490196,7,0.01,0.7,0.909090909090909,"France"
"31700",18422,140,-0.533764336647072,493.571428571429,0,0.865313653136531,0.78688814278141,7,0.01,0.7,0.91044776119403,"France"
"31701",18423,141,1.8880505244069,1043.71428571429,1,0.865454545454545,0.789401238816242,7,0.01,0.7,0.911764705882353,"France"
"31702",18424,142,0.00110377135579212,472.857142857143,0,0.865591397849462,0.79185520361991,7,0.01,0.7,0.91304347826087,"France"
"31703",18425,143,2.37033766770161e-05,504.428571428571,0,0.865724381625442,0.794252122795558,7,0.01,0.7,0.914285714285714,"France"
"31704",18426,144,-0.0461980776617819,493.714285714286,0,0.865853658536585,0.796593983765717,7,0.01,0.7,0.915492957746479,"France"
"31705",18427,145,-0.0540111545597558,500.714285714286,0,0.865979381443299,0.798882681564246,7,0.01,0.7,0.916666666666667,"France"
"31706",18428,146,-0.0833418977169421,481,0,0.865979381443299,0.790055248618785,7,0.01,0.688524590163934,0.916666666666667,"France"
"31707",18429,147,-0.000899258986105952,496.714285714286,0,0.865979381443299,0.781420765027322,7,0.01,0.67741935483871,0.916666666666667,"France"
"31708",18430,148,-0.940736744420572,477.142857142857,0,0.847195357833656,0.781240635301169,7,0.01,0.67741935483871,0.904109589041096,"France"
"31709",18431,149,-0.0491014746704955,508.857142857143,0,0.847328244274809,0.783625730994152,7,0.01,0.67741935483871,0.905405405405405,"France"
"31710",18432,150,0.0291160719644495,506.714285714286,1,0.847457627118644,0.785958904109589,7,0.01,0.67741935483871,0.906666666666667,"France"
"31711",18433,151,0.346508324748166,524.142857142857,1,0.847583643122677,0.78824185009752,7,0.01,0.67741935483871,0.907894736842105,"France"
"31712",18434,152,0.0857624748508987,517.428571428571,1,0.847706422018349,0.79047619047619,7,0.01,0.67741935483871,0.909090909090909,"France"
"31713",18435,153,-0.0985690444643484,518.285714285714,0,0.847826086956522,0.792663476874003,7,0.01,0.67741935483871,0.91025641025641,"France"
"31714",18436,154,0.0182544206468633,523.285714285714,1,0.847942754919499,0.794805194805195,7,0.01,0.67741935483871,0.911392405063291,"France"
"31715",18437,155,-0.298440426399111,491.857142857143,0,0.848056537102473,0.796902767199797,7,0.01,0.67741935483871,0.9125,"France"
"31716",18438,156,1.49124703043231,444.571428571429,0,0.848167539267016,0.798957557706627,7,0.01,0.67741935483871,0.91358024691358,"France"
