dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18461,179,-0.0108407386668501,1552,0,0.94899960768929,0.48756415317805,30,0.08,0.383177570093458,0.966101694915254
18462,180,-0.0180287863919556,1546,0,0.949074074074074,0.491525423728814,30,0.08,0.383177570093458,0.966666666666667
18463,181,-0.0111919808377953,1604.71428571429,0,0.949146110056926,0.49542549191628,30,0.08,0.383177570093458,0.967213114754098
18464,182,-0.015653769328287,1613.85714285714,0,0.949215832710978,0.499265785609398,30,0.08,0.383177570093458,0.967741935483871
18465,183,-0.017039206607105,1665.28571428571,0,0.949283351708931,0.503047687343134,30,0.08,0.383177570093458,0.968253968253968
18466,184,-0.0196100698669313,1712.71428571429,0,0.949348769898698,0.506772536198038,30,0.08,0.383177570093458,0.96875
18467,185,-0.0189626902420216,1755.42857142857,0,0.949412183826149,0.510441629578911,30,0.08,0.383177570093458,0.969230769230769
18468,186,-0.0339645581715364,1772,0,0.949473684210526,0.514056224899598,30,0.08,0.383177570093458,0.96969696969697
18469,187,-0.043731120958518,1751,0,0.949533356377463,0.517617541180321,30,0.08,0.383177570093458,0.970149253731343
18470,188,-0.0560718644594393,1727,0,0.949591280653951,0.52112676056338,30,0.08,0.383177570093458,0.970588235294118
18471,189,-0.0534365707174429,1740.28571428571,0,0.949647532729104,0.524585029752584,30,0.08,0.383177570093458,0.971014492753623
18472,190,-0.048603029021694,1811.57142857143,0,0.949702183984117,0.527993461381283,30,0.08,0.383177570093458,0.971428571428571
18473,191,-0.0532196213768459,1811.28571428571,0,0.949755301794454,0.531353135313531,30,0.08,0.383177570093458,0.971830985915493
18474,192,-0.0441950062925344,1851.14285714286,0,0.94980694980695,0.534665099882491,30,0.08,0.383177570093458,0.972222222222222
18475,193,-0.0455057207388087,1807.14285714286,0,0.949857188194224,0.537930373069915,30,0.08,0.383177570093458,0.972602739726027
18476,194,-0.0573807002091464,1811,0,0.949906073888541,0.541149943630214,30,0.08,0.383177570093458,0.972972972972973
18477,195,-0.0675763235537612,1833,0,0.949953660797034,0.544324772162386,30,0.08,0.383177570093458,0.973333333333333
18478,196,-0.047823426654619,1857.85714285714,0,0.95,0.547455792132804,30,0.08,0.383177570093458,0.973684210526316
18479,197,-0.0797555257831103,1777,0,0.950045139933795,0.550543910851685,30,0.08,0.383177570093458,0.974025974025974
18480,198,-0.111427459947334,1773.85714285714,0,0.950089126559715,0.553590010405827,30,0.08,0.383177570093458,0.974358974358974
18481,199,-0.0727850110970422,1835.71428571429,0,0.950132003520094,0.556594948550047,30,0.08,0.383177570093458,0.974683544303797
18482,200,0.0626436465442001,1938.14285714286,0,0.950173812282735,0.55955955955956,30,0.08,0.383177570093458,0.975
18483,201,0.0958262294418557,1991.57142857143,1,0.950214592274678,0.562484655045421,30,0.08,0.383177570093458,0.975308641975309
18484,202,0.0777934686427662,1992.71428571429,0,0.950254381006218,0.565371024734982,30,0.08,0.383177570093458,0.975609756097561
18485,203,0.0461169774122041,1960,0,0.950293214185982,0.568219437219201,30,0.08,0.383177570093458,0.975903614457831
18486,204,0.0466025623982615,1978.14285714286,0,0.950331125827815,0.571030640668524,30,0.08,0.383177570093458,0.976190476190476
18487,205,0.0542215787610013,2009,0,0.95036814835015,0.573805363518955,30,0.08,0.383177570093458,0.976470588235294
18488,206,0.00288990297186771,1985.28571428571,0,0.788990825688073,0.601634877384196,22,0.06,0.523364485981308,0.837209302325581
18489,207,0.0206855541272419,1995,0,0.789115646258503,0.60475681453768,22,0.06,0.523364485981308,0.839080459770115
18490,208,0.0337175324282075,2021.85714285714,0,0.789237668161435,0.607829430269137,22,0.06,0.523364485981308,0.840909090909091
18491,209,0.0189721801817028,2041,0,0.789356984478936,0.61085390946502,22,0.06,0.523364485981308,0.842696629213483
18492,210,-0.0187523236861604,2038.14285714286,0,0.789473684210526,0.613831398283695,22,0.06,0.523364485981308,0.844444444444444
18493,211,-0.0323457077417137,2032.42857142857,0,0.789587852494577,0.616763005780347,22,0.06,0.523364485981308,0.846153846153846
18494,212,0.0152084046407185,2056.42857142857,0,0.789699570815451,0.619649805447471,22,0.06,0.523364485981308,0.847826086956522
18495,213,-0.00719965587937639,2040.71428571429,0,0.789808917197452,0.622492836676218,22,0.06,0.523364485981308,0.849462365591398
18496,214,-0.0102232370898825,2004.28571428571,0,0.789915966386555,0.625293106143505,22,0.06,0.523364485981308,0.851063829787234
18497,215,-0.0459063013610809,1998,0,0.79002079002079,0.628051589129433,22,0.06,0.523364485981308,0.852631578947368
18498,216,-0.0549385666839756,2006,0,0.790123456790123,0.630769230769231,22,0.06,0.523364485981308,0.854166666666667
18499,217,0.0109869345904021,2116.57142857143,0,0.790224032586558,0.633446947243628,22,0.06,0.523364485981308,0.855670103092783
18500,218,0.0634587826108726,2174.28571428571,1,0.790322580645161,0.636085626911315,22,0.06,0.523364485981308,0.857142857142857
18501,219,0.0200733923749126,2239,0,0.790419161676647,0.638686131386861,22,0.06,0.523364485981308,0.858585858585859
18502,220,0.115115844273857,2354.14285714286,1,0.790513833992095,0.641249296567248,22,0.06,0.523364485981308,0.86
18503,221,0.322065800234851,2528.14285714286,1,0.790606653620352,0.643775933609958,22,0.06,0.523364485981308,0.861386138613861
18504,222,0.304055614653868,2645.42857142857,1,0.790697674418605,0.646266829865361,22,0.06,0.523364485981308,0.862745098039216
18505,223,0.254019365710648,2769.14285714286,1,0.790786948176583,0.648722749765949,22,0.06,0.523364485981308,0.864077669902913
18506,224,0.169317439311534,2816,1,0.790786948176583,0.644285050142791,22,0.06,0.518518518518518,0.864077669902913
18507,225,0.145651362039442,2925.85714285714,1,0.793700148708936,0.644285050142791,22,0.06,0.522935779816514,0.864077669902913
18508,226,0.137765534491836,3054.85714285714,1,0.793700148708936,0.639907651715039,22,0.06,0.518181818181818,0.864077669902913
18509,227,0.103084128148909,3092.85714285714,1,0.796533333333333,0.639907651715039,22,0.06,0.522522522522523,0.864077669902913
18510,228,0.061757731715911,3067.14285714286,1,0.799289754044456,0.63990765171504,22,0.06,0.526785714285714,0.864077669902913
18511,229,0.0573510700210414,3150.85714285714,0,0.801972488969634,0.639907651715039,22,0.06,0.530973451327434,0.864077669902913
18512,230,0.0431169570250305,3170.42857142857,0,0.804584453835318,0.639907651715039,22,0.06,0.535087719298246,0.864077669902913
18513,231,0.0342046834291253,3209.14285714286,0,0.807128412537917,0.639907651715039,22,0.06,0.539130434782609,0.864077669902913
18514,232,0.0232095553231712,3242.28571428571,0,0.809606986899563,0.63990765171504,22,0.06,0.543103448275862,0.864077669902913
18515,233,0.0124946296420314,3276.42857142857,0,0.798829553767374,0.63978564893478,22,0.06,0.543103448275862,0.855769230769231
18516,234,0.00952090375151018,3343.28571428571,0,0.788344654987487,0.63966588966589,22,0.06,0.543103448275862,0.847619047619048
18517,235,0.00455699957718446,3440.14285714286,0,0.778140293637847,0.63954831258822,22,0.06,0.543103448275862,0.839622641509434
18518,236,-0.0152337450774978,3467.57142857143,0,0.778226737474024,0.64200492393157,22,0.06,0.543103448275862,0.841121495327103
18519,237,-0.0323340748187695,3504.85714285714,0,0.77831159917639,0.644427879239657,22,0.06,0.543103448275862,0.842592592592593
